id,trainer_id,rider_id,handicap_weight
138,99,59,54
126,92,6,58.5
131,94,10,56
132,95,26,55.5
127,85,11,58
133,5,2,55
130,10,13,56
125,72,57,59.5
129,93,23,56
140,63,46,59
144,12,53,56.5
145,60,24,56
147,102,37,55
146,101,2,55.5
139,70,45,61
153,107,27,54
152,106,63,54
150,104,23,54
151,105,41,54
149,103,62,54.5
148,52,25,55
143,60,61,57
142,32,13,57
141,100,60,58.5
157,108,29,56.5
158,109,16,55
154,89,64,59.5
166,114,49,62
155,47,21,58
160,64,65,54
156,88,22,57.5
161,47,52,54
164,78,31,54
165,113,68,54
162,111,66,54
163,112,67,54
159,110,20,54.5
173,37,69,58.5
175,11,70,58.5
176,71,46,57.5
183,28,14,58.5
184,32,10,56
172,116,7,58.5
174,36,24,58.5
177,117,2,57.5
168,30,8,59
178,118,71,57
179,119,24,56.5
180,120,72,56.5
170,10,11,59
181,85,73,56.5
169,12,1,59
167,26,10,61.5
171,115,25,58.5
182,121,53,58.5
194,47,30,54
193,127,68,55
195,50,35,54
189,15,44,58.5
188,123,20,58.5
185,122,31,61
191,125,19,57.5
186,88,74,59.5
187,38,29,59
192,126,18,56.5
190,124,75,58
444,177,105,57
441,146,87,60.5
446,251,101,55.5
445,177,90,56
442,148,110,59
443,194,128,57
451,221,93,56
448,154,97,57.5
452,184,16,55.5
453,253,117,55
454,254,92,55
455,183,113,55
450,157,133,56
449,205,145,57.5
447,252,132,59
217,135,83,56.5
213,51,5,56.5
211,141,2,58.5
221,145,86,54
219,144,23,56.5
214,103,62,56.5
216,143,77,56.5
215,142,46,56.5
218,101,84,56.5
212,135,78,58.5
220,5,85,54
223,147,88,59.5
228,151,91,54
222,146,87,61
227,150,90,54
225,149,89,54
224,148,10,57
226,148,10,54
233,155,96,56
230,153,93,58.5
229,152,92,59
236,158,99,54
234,156,97,55.5
238,160,17,54
235,157,98,54.5
232,154,95,56.5
237,159,100,54
231,21,94,58
239,161,10,54
246,30,2,56
247,7,78,56
245,34,85,56
243,162,28,58
248,93,23,56
244,164,54,56
242,163,8,58
240,12,79,58
241,162,10,58
251,167,103,56.5
250,166,102,57.5
252,168,91,56.5
256,172,106,56
261,175,111,56
257,171,107,56
260,174,110,56
255,171,105,56
254,170,104,56
258,173,108,56
253,169,89,56
249,165,101,59
259,151,109,56
263,177,10,56
262,176,10,56
271,182,92,59
274,185,94,57
273,184,16,57
270,46,21,59
265,46,32,59
272,183,113,57
264,178,97,59
268,180,112,59
269,181,95,59
267,45,15,59
266,179,99,59
275,186,98,57
285,192,31,56.5
283,100,115,58.5
279,136,62,58.5
281,189,114,58.5
276,187,38,58.5
282,190,76,58.5
278,128,2,58.5
277,128,8,58.5
288,128,23,56.5
280,188,77,58.5
287,25,10,56.5
286,193,46,56.5
289,11,10,56.5
284,191,54,56.5
297,169,105,55
295,172,106,57
298,199,107,55
291,195,116,59
296,171,111,57
290,194,101,59
294,198,90,57
300,201,91,54
292,196,89,59
293,197,104,57
299,200,102,54
458,256,115,58.5
466,261,14,56.5
456,140,76,58.5
461,259,78,58.5
457,255,136,58.5
462,260,2,58.5
459,257,6,58.5
460,258,146,58.5
463,259,8,58.5
467,142,46,56.5
464,103,82,58.5
468,262,147,56.5
465,241,137,56.5
469,259,123,58.5
309,205,16,56.5
305,178,97,58
301,155,96,61
302,202,117,59.5
303,21,118,59
306,203,93,58
310,178,119,54
304,179,112,59
307,180,10,57.5
308,204,10,57
315,173,121,59
321,174,91,54.5
312,207,110,60.5
317,210,105,57
316,209,107,58.5
313,177,111,59
318,150,90,56.5
319,211,122,55.5
323,150,10,54
324,214,10,54
320,212,108,55
314,208,102,59
325,215,10,54
311,206,120,61
326,176,10,54
322,213,10,54.5
328,75,2,60.5
330,217,123,59
336,220,115,56.5
333,12,79,58
331,218,82,58.5
332,219,78,58
327,216,31,61
337,217,23,54
334,128,9,58
335,5,76,57
338,188,77,54
329,6,27,59.5
345,182,117,56
343,45,125,57
339,155,96,59
344,223,98,56.5
348,224,94,55.5
347,21,118,56
346,221,93,56
342,222,100,57
350,178,97,54
341,221,124,57
340,161,10,59
349,186,126,55.5
351,150,102,59
362,194,101,54
352,195,127,57.5
356,226,88,56.5
361,227,129,54.5
358,214,109,56
353,194,110,57.5
355,196,107,56.5
357,195,116,56
354,225,91,57
360,207,104,55
366,147,10,54
365,197,10,54.5
364,177,10,54.5
363,198,106,54
359,149,128,55.5
373,230,115,55.5
367,12,79,59
370,30,37,57
371,228,130,56.5
374,231,131,55
375,232,84,55
369,137,8,58
368,5,2,59
377,233,42,54
378,128,23,54
376,62,46,54
372,229,31,56.5
380,130,9,54
379,133,86,54
381,60,10,57.5
394,179,99,54
386,178,97,56.5
382,203,93,60
392,182,112,54
387,234,132,56.5
385,204,21,57.5
383,186,95,59.5
393,153,92,54
384,222,126,59
388,152,119,56
391,236,133,55
390,235,117,55.5
395,160,10,54
389,205,10,55.5
398,220,77,60
396,191,134,60.5
407,241,137,56
406,240,136,56
408,130,33,54
402,145,5,59
400,55,47,60
404,51,115,58
401,238,84,59
397,237,135,60
399,128,9,60
405,239,38,58
410,243,138,54
403,93,23,58
409,242,31,54
416,245,110,54.5
422,177,105,54
413,206,139,59
411,168,121,61.5
418,149,89,54
420,214,109,54
414,244,107,56.5
419,199,111,54
417,146,140,54
423,177,10,54
421,148,108,54
415,168,91,55.5
412,169,10,59
432,246,143,58
430,221,95,58.5
435,45,15,57
437,248,99,56
428,182,118,59
431,152,142,58
436,183,113,56
427,202,117,59.5
429,222,100,59
434,204,144,57.5
438,249,94,54
439,250,119,55.5
440,179,10,54
424,178,97,60.5
426,222,141,60
425,224,10,60.5
433,247,10,58
207,137,80,58
208,138,81,57
200,51,5,60.5
197,128,9,61.5
205,135,79,59
199,130,33,60.5
201,131,76,60
198,129,12,61
210,140,10,54
204,134,78,59
209,139,82,56
202,132,77,59.5
203,133,46,59.5
206,136,62,58.5
196,93,10,62
490,281,168,56.5
489,280,167,56.5
494,285,171,54.5
492,283,169,56.5
487,278,165,58
488,279,166,58
493,284,170,55.5
491,282,10,56.5
508,32,182,58
512,297,184,57
506,51,8,58
513,7,25,56
511,12,183,57.5
505,294,7,58
514,298,78,55.5
507,295,181,58
509,296,59,58
510,117,10,58
522,270,187,57
523,266,188,57
518,301,156,57
517,300,157,57.5
515,299,155,57.5
519,302,151,57
521,304,149,57
516,269,185,57.5
520,303,186,57
530,272,190,55
526,273,159,57
525,272,162,57
527,305,163,57
524,272,126,57
528,306,189,57
529,307,164,57
810,455,199,57
814,458,264,54
808,279,215,59
813,457,198,55
807,226,262,59
812,456,177,56
811,388,169,57
809,454,263,58.5
816,12,24,58.5
820,28,25,56.5
819,460,82,58
815,459,41,59.5
817,364,83,58
824,139,29,54
823,29,184,55
822,309,181,55.5
821,51,137,56
818,25,183,58
471,264,149,57.5
470,263,148,57.5
475,267,153,57.5
478,270,156,56
476,268,154,57.5
472,265,150,57.5
479,271,157,55.5
477,269,155,56
473,266,151,57.5
474,263,152,57.5
484,272,162,56.5
483,275,161,56.5
485,276,163,56
480,272,158,59
482,274,160,57
486,277,164,55
481,273,159,57.5
499,290,176,57
500,291,177,55.5
504,293,166,55
503,293,180,55
497,288,174,57
498,289,175,57
496,287,173,57.5
502,292,179,55.5
495,286,172,57.5
501,292,178,55.5
534,25,184,57
533,29,24,58
531,70,191,60.5
532,7,192,58
542,95,115,54
539,310,137,55
535,12,85,56.5
540,30,23,55
538,119,78,55.5
541,36,13,55
536,308,182,56.5
537,309,181,56
551,318,187,56
553,319,196,55.5
545,313,149,58
549,317,157,57.5
543,311,153,58
544,312,151,58
546,314,193,58
547,315,194,58
554,320,188,55.5
555,321,154,53.5
552,312,186,55.5
550,269,185,56
548,316,195,57.5
559,323,164,56.5
558,322,117,56.5
556,272,162,59
562,272,158,54.5
561,324,189,55.5
563,325,197,54.5
560,305,163,56
557,153,93,57
568,293,166,56.5
572,330,201,54
564,326,175,59
567,328,200,57
570,293,180,56
569,329,173,56.5
571,290,176,54.5
565,327,198,57.5
573,331,202,54
566,279,199,57
577,334,181,59.5
578,60,24,58
575,333,1,60
580,24,184,57
581,131,137,56
582,134,183,55.5
574,332,192,60.5
576,259,123,60
579,335,5,57.5
583,336,23,54
595,345,212,55
594,344,211,55
585,338,204,57
591,337,210,57
586,339,205,57
587,340,206,57
584,337,203,57
590,343,209,57
589,342,208,57
588,341,207,57
593,337,10,57
596,346,10,55
592,342,10,57
599,349,193,59
602,263,213,57
605,353,187,55
600,350,156,57
598,348,154,59
606,354,151,54.5
601,351,185,57
604,352,186,55
603,350,150,56.5
597,347,153,59
829,275,161,57
834,154,164,57
827,297,229,57
830,462,92,57
831,297,190,57
826,461,231,57
836,424,158,55
835,305,160,57
828,276,163,57
825,272,162,57
837,464,97,55
832,463,113,57
833,307,10,57
611,357,171,56
607,355,199,60
609,293,166,57
614,359,215,54.5
613,358,198,55
615,360,216,54
610,356,167,56.5
612,326,214,56
608,326,175,58
624,70,85,58
619,131,184,59
618,308,1,59
617,361,192,59
622,363,24,58
625,35,11,58
626,364,83,56.5
628,310,217,54
621,362,191,58.5
629,366,23,54
620,259,137,59
623,25,181,58
616,256,10,60.5
627,365,131,55.5
632,368,220,58
631,344,219,59
633,338,221,57
638,372,223,54
635,369,206,55.5
634,339,205,56
637,371,222,54
630,367,218,59.5
639,373,224,54
636,370,210,54
646,270,151,57.5
643,374,186,60
645,376,226,57.5
648,316,227,57
651,379,150,54.5
642,317,149,60.5
644,375,225,59.5
652,380,148,54
641,353,154,61.5
640,264,157,62
649,265,188,56
653,381,155,60.5
647,377,213,57
650,378,187,56
657,148,93,59.5
658,383,228,58.5
660,385,229,58
659,384,164,58
656,382,158,59.5
662,247,160,57
663,180,230,56.5
654,114,97,61
665,386,231,54
655,274,159,61
661,276,163,57
664,272,190,54
667,388,169,58.5
677,394,215,54
671,392,235,54.5
672,393,198,54.5
668,389,233,57
673,394,236,54.5
674,395,177,54.5
680,399,239,54
679,389,180,54
675,396,237,54
676,397,216,54
669,390,201,55
666,387,232,61
670,391,234,55
678,398,238,54
681,331,202,54
693,404,13,57
699,22,240,58
694,405,183,56.5
684,401,24,60
683,400,41,60
688,12,1,58.5
696,93,25,56.5
685,51,184,59
700,310,10,57
690,403,137,58.5
695,25,181,56.5
682,191,191,61
692,131,78,57.5
686,72,182,59
691,117,83,57.5
687,402,85,58.5
698,310,10,56
689,12,53,58.5
697,100,10,58.5
708,411,243,57
706,346,220,57
710,337,245,55
704,408,203,57
701,406,241,57
709,412,244,57
714,368,212,55
716,367,218,55
711,344,219,55
718,415,10,55
715,414,248,55
707,410,208,57
705,409,209,57
713,413,247,55
712,370,246,55
717,345,223,57
703,407,242,57
702,337,10,57
719,320,188,59
727,419,185,56
721,416,196,58.5
726,270,156,57
720,375,195,59
723,361,225,58
725,418,187,57
728,420,150,56
733,379,148,54
732,419,249,54
729,421,157,55
731,422,151,54
724,417,194,58
722,378,155,58
730,347,10,54.5
739,297,231,60
736,155,96,60.5
742,424,158,59
746,427,126,56.5
745,424,164,57
747,428,21,54.5
735,423,94,60.5
734,180,250,61
738,46,163,60
741,297,159,59.5
737,159,113,60.5
744,426,229,57
743,425,10,58.5
740,153,93,60
756,358,171,56.5
759,435,236,54
753,433,201,57
758,434,116,56
757,293,166,56.5
754,430,255,57
750,430,180,58
752,432,254,57.5
748,290,251,59
751,431,253,58
755,330,167,56.5
749,429,252,59
769,24,181,54
771,308,137,54
761,309,5,59
767,437,23,55.5
772,438,53,54
773,94,27,54
765,119,184,58
763,36,13,58.5
760,25,24,61
770,310,183,54
766,256,182,57.5
764,436,78,58
768,36,123,55
762,12,85,59
781,442,247,56
776,342,208,57
775,337,203,58.5
782,443,245,56
777,345,256,57
779,440,257,56.5
778,439,242,56.5
774,341,207,59
780,441,212,56
783,444,206,55
784,445,258,54
788,446,185,57.5
786,421,187,59
790,379,153,57
789,7,194,57.5
785,419,196,59.5
787,304,195,58
794,379,148,54
793,352,260,54
792,448,249,55
791,447,259,55
838,276,265,60
849,272,163,58
842,202,117,59.5
851,384,164,57
846,272,162,58.5
843,272,159,59
840,465,94,59.5
853,467,231,56
844,424,190,59
847,154,266,58
854,223,98,54
850,159,160,58
845,272,126,58.5
852,272,229,57
848,466,133,58
839,426,93,59.5
841,272,159,59.5
796,360,216,58.5
803,452,166,54
798,355,261,57
800,355,215,55.5
795,293,199,60
799,357,171,56
806,453,202,54
801,450,255,55
802,451,198,54
797,449,169,57
804,330,201,54
805,397,165,54
865,308,1,57.5
858,470,181,59.5
866,472,183,55.5
864,36,184,58
860,32,182,59
868,190,115,54
856,468,24,61
869,473,23,54
857,469,137,60.5
862,310,191,58.5
863,471,45,58
871,474,268,54
870,460,267,54
855,361,192,61.5
867,298,10,54
861,75,79,58.5
859,119,85,59
875,477,242,57.5
872,337,210,59.5
874,476,270,58
881,481,206,55
884,484,274,54
876,478,220,57
873,475,269,59
878,479,271,56.5
880,480,204,55.5
879,342,212,56
883,483,273,54
877,370,246,57
882,482,272,54
888,446,195,59
895,488,185,56.5
886,379,150,59.5
889,264,156,58
900,318,157,55
892,266,188,57
904,350,10,54
887,486,186,59
894,416,151,56.5
893,419,155,57
891,347,153,57
902,379,148,55.5
899,353,275,55
897,489,227,56
890,487,10,58
885,485,10,61
903,490,10,54
896,487,10,56
898,378,10,56
901,420,10,54
909,494,223,57.5
906,492,243,58
905,491,220,60
913,342,208,56.5
915,493,276,56
910,346,206,57.5
917,370,210,54
908,345,248,58
912,495,242,57
907,493,212,58
911,491,205,57
916,493,277,56
914,496,10,56
928,500,212,56
922,497,243,57.5
925,499,269,56.5
927,370,279,56
924,483,205,56.5
921,337,210,58
923,498,203,57
929,496,219,55
920,346,220,58
932,503,242,54
931,502,281,54
930,501,280,54.5
919,342,278,59.5
926,341,218,56
918,345,248,60
941,509,206,55
934,341,207,58
943,411,243,54.5
938,506,209,56
937,505,212,56
946,442,247,54
936,337,282,56.5
935,345,248,58
945,368,220,54
939,507,283,55.5
944,511,285,54.5
947,512,10,54
942,510,284,54.5
940,508,222,55
948,513,10,54
933,504,280,59
949,502,10,54
1176,273,159,57
1173,520,117,59
1172,425,231,59
1171,595,108,59
1174,515,322,59
1179,609,160,57
1175,607,323,59
1178,608,324,57
1177,277,98,57
1170,305,164,59
1169,606,10,59
1187,235,164,57
1184,424,190,57
1189,424,229,57
1188,463,326,57
1181,305,158,59
1182,426,93,59
1183,461,231,57
1185,610,325,57
1190,161,133,54.5
1186,382,287,57
1180,276,10,59
1200,24,8,57
1198,613,82,57
1192,75,2,57
1204,7,25,57
1195,611,78,57
1193,297,184,57
1201,614,6,57
1202,12,304,57
1191,309,5,57
1197,612,76,57
1194,231,53,57
1196,32,182,57
1199,119,183,57
1206,28,83,57
1203,72,10,57
1205,96,10,57
954,518,287,57.5
951,515,92,58
953,517,229,57.5
955,382,93,56.5
958,521,288,56
956,519,97,56
957,520,108,56
959,522,289,56
950,514,286,58
952,516,189,58
969,256,182,56.5
967,35,27,56.5
960,523,146,58.5
968,402,24,56.5
965,365,76,58.5
962,523,2,58.5
966,523,7,58.5
964,525,184,58.5
963,523,290,58.5
961,524,8,58.5
972,528,293,57.5
978,534,298,55
970,526,291,57.5
971,527,292,57.5
974,530,295,57
975,531,216,57
976,532,296,55.5
977,533,297,55
973,529,294,57.5
981,535,163,57
987,424,190,57
986,276,158,57
996,382,287,55
984,297,100,57
979,154,162,57
995,426,93,57
982,426,10,57
991,424,189,55
989,536,160,55
988,463,10,55
983,463,229,57
980,161,10,57
992,307,98,55
993,537,10,57
994,325,94,55
985,305,161,57
990,276,10,55
1008,543,300,56.5
997,538,114,58.5
1004,7,184,58.5
1006,70,183,56.5
1002,308,1,58.5
999,35,27,58.5
1007,33,82,56.5
1005,542,53,56.5
1000,470,182,58.5
998,539,299,58.5
1001,540,2,58.5
1003,541,23,58.5
1010,545,24,58.5
1011,546,10,56.5
1009,544,8,58.5
1020,551,303,54.5
1016,528,216,55.5
1012,547,291,58
1017,528,293,55
1013,548,301,58
1015,549,165,56.5
1021,529,296,54.5
1014,526,302,57
1018,550,292,55
1019,528,298,54.5
1023,500,276,57
1022,552,206,57
1031,344,211,55
1026,554,241,57
1035,558,204,55
1024,345,256,57
1025,553,280,57
1032,346,220,55
1036,410,208,57
1029,556,218,57
1033,557,273,55
1034,370,203,55
1027,555,247,57
1037,371,10,55
1028,499,248,57
1030,337,210,55
1038,475,10,55
1044,12,304,56.5
1049,32,182,56
1043,559,6,56.5
1047,561,183,56.5
1041,29,10,56.5
1039,60,137,58.5
1050,562,82,54
1040,25,8,56.5
1046,561,24,56.5
1048,309,5,56.5
1042,25,184,56.5
1045,560,10,56.5
1053,272,229,58.5
1051,426,190,59
1056,171,106,55
1054,272,287,58.5
1052,463,160,59
1055,272,162,57
1058,252,93,54
1057,467,305,54
1059,563,306,58.5
1069,570,303,54
1064,566,302,55
1068,569,216,54
1062,528,293,55.5
1060,564,296,56.5
1061,564,294,56
1065,564,307,55
1063,565,298,55.5
1067,568,165,54.5
1066,567,301,54.5
1070,564,308,54
1072,34,23,57
1075,12,183,55.5
1074,571,309,57
1076,572,310,54
1073,472,2,57
1071,12,57,59
1077,119,10,54
1080,574,280,58
1084,577,243,58
1078,573,209,58
1086,506,10,56
1081,345,218,58
1079,410,208,58
1085,337,210,56
1090,480,204,56
1087,578,272,56
1093,581,241,58
1091,558,203,56
1089,580,257,56
1083,576,284,58
1092,475,211,56
1094,445,10,56
1082,575,285,58
1088,579,10,56
1095,484,10,58
1103,518,287,60.5
1101,275,159,60.5
1096,582,311,63
1100,426,190,61
1107,386,316,58.5
1109,462,118,54
1106,537,315,59
1105,424,189,59.5
1108,583,317,56
1104,148,314,59.5
1102,426,160,60.5
1098,386,312,61.5
1110,324,318,54
1099,235,313,61.5
1097,276,10,62
1118,12,1,58.5
1111,543,45,60.5
1120,587,86,58
1121,243,138,54
1114,308,182,60
1117,586,7,58.5
1115,585,82,59
1112,72,23,60.5
1113,584,25,60
1119,309,5,58
1116,402,24,58.5
1122,588,292,62.5
1127,590,291,57
1133,592,298,54.5
1124,567,303,60
1134,566,293,54
1123,532,319,60.5
1135,593,216,54
1125,589,302,58.5
1132,591,295,55
1129,565,297,56.5
1126,530,294,57
1128,529,301,56.5
1130,566,165,55.5
1131,566,10,55
1212,556,211,58
1209,616,276,58
1207,615,247,58
1216,617,248,56
1208,557,220,58
1217,580,203,56
1221,619,328,56
1218,618,243,56
1219,499,209,56
1213,345,218,58
1210,411,274,58
1220,499,204,56
1215,407,223,56
1214,441,327,58
1211,493,10,58
1222,620,10,58
1223,493,10,58
1224,621,10,56
1143,597,288,59
1140,297,100,60
1145,466,320,59
1142,305,164,59.5
1138,386,311,61
1136,594,229,61
1146,599,162,58
1137,595,231,61
1144,598,286,59
1141,596,92,60
1139,154,159,61
1154,24,137,56
1157,538,53,55
1151,601,321,58
1156,587,86,55
1147,26,79,60.5
1149,12,1,59.5
1153,51,8,57.5
1155,33,9,55.5
1150,571,304,59.5
1158,93,84,55
1148,600,10,59.5
1152,243,138,58
1159,566,291,58.5
1166,567,301,58.5
1165,605,294,58.5
1160,602,165,58.5
1163,603,295,58.5
1161,563,306,58.5
1167,564,307,56.5
1164,604,292,58.5
1162,529,216,58.5
1168,534,303,56.5
1233,625,211,56
1225,622,327,58
1226,621,208,58
1232,624,269,58
1234,493,277,56
1231,441,218,58
1228,623,203,58
1230,506,273,58
1227,623,206,58
1238,373,224,56
1229,578,329,58
1242,628,10,58
1239,493,276,58
1241,627,274,58
1240,621,245,56
1237,342,278,56
1235,626,209,56
1236,626,272,56
1251,521,288,58.5
1246,515,231,60.5
1245,424,189,61
1248,180,229,60
1250,609,287,59
1249,596,92,59.5
1243,583,106,66
1244,202,98,62
1254,424,331,56
1253,386,312,57.5
1247,426,330,60
1252,463,164,57.5
1263,630,45,58.5
1258,12,57,60
1262,36,123,58.5
1265,631,114,58
1259,403,82,59.5
1255,72,2,61
1264,36,332,58
1256,629,79,61
1269,539,53,56.5
1267,632,333,58
1268,54,36,55
1266,362,11,56.5
1261,72,10,59
1260,309,8,59
1257,57,10,60.5
1270,52,37,55.5
1274,634,295,55.5
1272,633,298,58.5
1276,635,216,54.5
1279,563,296,54
1280,604,292,54
1273,567,303,56.5
1275,563,306,55
1271,529,294,59
1277,529,301,54
1278,534,293,54
1284,496,285,57
1281,345,257,59
1287,616,284,54.5
1290,503,245,54
1282,501,247,59
1283,507,283,57
1288,636,219,54
1285,503,248,55.5
1289,627,274,54
1286,501,280,55
1296,575,285,57
1301,483,204,55.5
1295,339,223,57
1299,639,335,56
1294,476,209,57.5
1293,368,206,58
1292,637,248,58
1291,502,334,58
1300,579,273,55.5
1297,638,258,57
1298,370,210,56.5
1305,637,248,57
1302,640,278,60
1304,642,245,57.5
1303,641,329,58
1309,339,336,55
1308,344,219,55
1306,619,247,55.5
1307,346,206,55.5
1310,643,337,54.5
1312,411,338,54.5
1311,413,285,54.5
1313,579,210,54
1316,342,278,58
1317,411,244,58
1320,558,204,56.5
1321,645,280,56.5
1326,502,281,54
1318,345,256,58
1315,644,269,58.5
1322,344,219,55
1324,337,203,54.5
1319,342,208,57.5
1314,494,271,59
1328,648,245,54
1327,647,248,54
1325,646,10,54.5
1323,616,284,55
1572,746,93,56.5
1575,676,19,55.5
1571,112,100,58
1577,748,21,54.5
1573,223,133,56
1576,747,353,54.5
1574,661,94,56
1570,275,161,58
1580,606,10,57
1589,235,350,55
1588,722,108,55
1583,685,376,55
1586,752,323,55
1578,723,365,57
1584,750,377,55
1582,750,92,55
1587,753,289,55
1579,514,305,57
1585,751,351,55
1581,749,197,55
1590,750,10,55
1591,252,93,59
1597,40,95,59
1594,182,164,59
1600,535,326,56.5
1599,65,44,57
1595,754,133,59
1592,183,113,59
1593,126,18,59
1598,18,19,57
1596,755,119,59
1338,652,198,57
1340,654,343,57
1343,656,215,57
1347,659,346,55
1342,655,175,57
1341,356,344,57
1344,288,174,55
1346,658,345,55
1339,653,342,57
1345,657,107,55
1610,670,377,56.5
1604,582,289,59
1609,386,316,56.5
1608,467,305,57
1603,740,323,59
1607,225,350,57
1614,738,372,57
1602,756,92,59
1612,386,378,54.5
1611,722,355,54.5
1613,722,108,56.5
1605,686,356,57
1601,672,98,59
1606,757,10,57
1350,180,94,58.5
1351,660,347,58.5
1355,65,44,54
1348,463,164,59
1352,661,93,57.5
1353,662,99,56.5
1349,224,10,59
1354,16,97,56
1361,664,348,54.5
1358,293,215,56.5
1362,665,345,54
1359,451,254,56
1356,663,199,59
1363,666,172,54
1357,290,176,57
1360,398,180,55.5
1365,606,117,58
1366,668,286,57.5
1373,596,92,56.5
1375,669,352,56.5
1369,386,316,56.5
1374,324,106,56.5
1372,671,351,56.5
1364,667,349,59
1371,669,305,56.5
1367,669,289,57
1368,670,350,56.5
1370,595,108,56.5
1379,673,10,56.5
1376,672,315,56.5
1378,669,10,56.5
1377,669,10,56.5
1386,677,143,57
1382,183,113,58.5
1383,674,97,57.5
1385,676,67,57
1387,113,35,54.5
1388,223,133,54
1389,678,15,54
1384,675,353,57
1381,159,100,60
1380,306,119,60.5
1402,281,345,54
1399,430,233,54.5
1391,358,215,57
1396,681,198,55
1392,430,343,56.5
1407,664,10,54
1401,665,236,54
1395,680,199,55
1390,293,166,59
1406,681,10,54
1394,656,171,55.5
1397,682,169,54.5
1398,279,172,54.5
1404,684,342,54
1405,356,10,54
1393,679,354,55.5
1403,683,237,54
1400,398,10,54.5
1408,582,355,58.5
1410,386,312,57.5
1414,687,357,54
1412,583,106,54
1409,685,352,58
1411,467,289,54.5
1415,688,111,54
1413,686,356,54
1416,689,1,58
1422,690,79,58
1418,436,78,58
1417,309,2,58
1426,25,8,56
1423,691,299,56
1421,28,45,58
1419,524,192,58
1425,28,25,56
1420,29,5,58
1424,32,183,56
1431,694,359,59.5
1432,695,143,58
1427,692,100,62.5
1433,678,161,57.5
1429,693,142,60
1430,16,97,59.5
1428,678,358,62
1434,519,17,57
1435,358,166,58.5
1439,457,198,55.5
1436,290,251,57
1440,665,116,55
1441,697,171,54.5
1443,356,344,54
1438,655,215,56.5
1442,429,236,54
1437,696,10,57
1449,669,289,58
1450,700,98,57
1452,702,361,56
1447,699,360,60
1453,668,286,56
1448,467,305,58.5
1446,386,316,60.5
1444,173,120,61.5
1454,703,350,55.5
1451,701,117,56.5
1445,698,355,61
1615,403,28,58.5
1616,758,369,58.5
1621,760,42,56.5
1623,761,26,56.5
1619,190,76,58.5
1618,25,379,58.5
1617,759,12,58.5
1624,762,2,56.5
1622,12,13,56.5
1620,25,8,56.5
1625,763,192,56.5
1626,764,300,56
1455,466,95,61
1462,14,143,54
1464,692,119,54
1461,16,17,54
1463,91,97,54
1460,463,311,55.5
1459,517,100,56
1458,704,15,56.5
1457,305,164,58.5
1456,424,10,59.5
1466,355,262,57.5
1471,279,363,55.5
1468,706,236,56.5
1469,707,175,56.5
1472,457,251,55.5
1467,705,253,57
1470,708,362,56
1474,709,215,54
1476,711,10,54
1473,288,174,55
1465,398,238,58
1475,710,10,54
1482,7,25,58.5
1488,34,85,56
1480,75,79,58.5
1477,712,28,58.5
1479,12,1,58.5
1478,216,23,58.5
1484,131,78,58.5
1483,361,114,58.5
1481,713,76,58.5
1486,35,7,56.5
1485,51,8,56.5
1491,140,10,56.5
1489,715,60,58.5
1490,7,78,56.5
1487,714,183,54
1493,386,355,60
